Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,DOEACC ,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Front Office Executive,Administration,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Support,9:00 AM - 6:00 PM,Support
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Sc,No details,no details,no details,Integrity Issue,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,no details,Health,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,L.L.B. ,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,metric,Personal ,1,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,Diploma in Mechanical Engineering ,Intermediate,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,M.C.A.,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,metric,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,metric,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,metric,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,metric,KPMG Red Report,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,metric,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,06:00 AM - 15:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B. Pharm ,No details,no details,Intermediate,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Personal ,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,metric,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,metric,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,M.C.A.,no details,metric,Health,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Health,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Com,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,Intermediate,Personal ,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.A.,No details,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.Sc.,no details,Intermediate,No data available,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,M.C.A.,no details,Intermediate,Abanonded,0,V,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,Performance & Discipline,0,F,F,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,B.Sc,No details,no details,Intermediate,No data available,0,F,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
MT/QA,Medical Transcription,No details,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A2,R1 RCM India,Operations,9:00 AM - 6:00 PM,Operations
